MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
2677,,2017-01-04 10:46,USD,True,-107.97,2024-06-11 17:01,ADMIN,0,0,USER,https://opencollective.com/bbatsov,https://twitter.com/bbatsov,https://github.com/bbatsov,https://batsov.com
2678,,2017-01-04 10:46,USD,True,-0.5,2024-08-02 10:05,HOST,0,1.67,ORGANIZATION,https://opencollective.com/opensource,https://twitter.com/OpenSourceColl,,https://oscollective.org/
2679,,2017-01-04 10:46,0,True,0,2024-08-27 11:25,ADMIN,0,0,USER,https://opencollective.com/malabarba,,,https://endlessparentheses.com
2698,,2017-01-06 17:51,USD,False,2,2018-12-07 05:02,BACKER,Backers,48,USER,https://opencollective.com/davidwhittington,https://twitter.com/djwhitt,,https://twitter.com/djwhitt
2711,,2017-01-08 18:58,USD,True,10,2017-01-08 18:58,BACKER,0,10,USER,https://opencollective.com/dieterkomendera,,,https://www.komendera.com/
2714,,2017-01-09 08:43,USD,True,50,2019-04-06 08:38,BACKER,0,75,USER,https://opencollective.com/jmglov,https://twitter.com/jmglov,,https://jmglov.blogspot.com/
2715,,2017-01-09 09:06,USD,False,2,2017-02-09 10:08,BACKER,Backers,4,USER,https://opencollective.com/alainlafon,https://twitter.com/Preek,,https://collecture.io
2716,,2017-01-09 09:33,USD,False,2,2019-03-10 05:00,BACKER,Backers,54,USER,https://opencollective.com/nilsgrunwald,https://twitter.com/nilsgrunwald,,https://theblankscreen.net
2717,,2017-01-09 11:38,USD,True,5,2024-08-01 01:02,BACKER,Backers,460,USER,https://opencollective.com/casparhasenclever,,,
2719,,2017-01-09 16:05,USD,False,5,2020-02-10 05:02,BACKER,Backers,190,USER,https://opencollective.com/ericfode,https://twitter.com/Ericfode,,https://t.co/upN5G6TPEa
2722,,2017-01-09 21:43,USD,True,20,2017-01-09 21:43,BACKER,0,20,USER,https://opencollective.com/pietervanprooijen,,,
2725,,2017-01-11 07:09,USD,False,2,2019-04-02 05:09,BACKER,Backers,58,USER,https://opencollective.com/kennybier,https://twitter.com/kenbier,,https://kenbier.com
2769,,2017-01-14 20:13,USD,False,25,2019-10-15 05:00,BACKER,Backers,850,USER,https://opencollective.com/tianxiangxiong,,,
2832,,2017-01-20 04:24,USD,True,2,2024-08-01 01:02,BACKER,Backers,182,USER,https://opencollective.com/tomhaubert,,,
2859,,2017-01-21 22:05,USD,False,2,2019-07-27 05:01,BACKER,Backers,62,USER,https://opencollective.com/haim,,,
2893,,2017-01-25 22:38,USD,True,2,2024-08-01 00:01,BACKER,Backers,184,USER,https://opencollective.com/markhepburn,https://twitter.com/markhepburn,,https://www.markhepburn.com
2935,,2017-01-28 08:22,USD,False,5,2022-03-01 03:06,BACKER,Backers,281,USER,https://opencollective.com/abcdw,,https://github.com/abcdw,https://trop.in/
3197,,2017-02-09 04:38,USD,False,25,2017-02-09 04:38,BACKER,Backers,25,USER,https://opencollective.com/matthewrussell76,,,
3273,,2017-02-14 23:01,USD,False,5,2017-09-02 00:02,BACKER,Backers,40,USER,https://opencollective.com/lambdatronic,,,
3660,,2017-03-22 08:35,USD,False,5,2020-01-03 05:09,BACKER,Backers,110,USER,https://opencollective.com/alex,https://twitter.com/superaking,,https://www.alexanderjamesking.com
3851,,2017-04-01 17:41,USD,False,25,2017-04-01 17:41,BACKER,Backers,25,USER,https://opencollective.com/lawrence,,,https://www.smashcompany.com/
3940,,2017-04-03 06:53,USD,False,5,2019-09-13 05:02,BACKER,Backers,150,USER,https://opencollective.com/ronenc,,,
4164,,2017-04-19 00:07,USD,False,25,2023-01-11 17:01,BACKER,Backers,1750,USER,https://opencollective.com/danlentz,https://twitter.com/danlentz,,https://twitter.com/danlentz
4421,,2017-05-03 18:57,USD,True,18,2017-05-03 18:57,BACKER,0,18,USER,https://opencollective.com/chucksommer42,,,
4532,,2017-05-11 10:57,USD,True,2,2024-08-01 11:29,BACKER,Backers,176,USER,https://opencollective.com/mattp,,,
4669,,2017-05-19 13:57,USD,True,10,2024-07-31 10:55,BACKER,Backers,805,USER,https://opencollective.com/jumarko,https://twitter.com/martinkajuraj,,https://curiousprogrammer.net/
4718,,2017-05-23 16:43,USD,False,5,2018-03-02 23:09,BACKER,Backers,55,USER,https://opencollective.com/thomasianhancock,,,
4729,,2017-05-24 16:13,USD,True,5,2024-08-01 00:04,BACKER,0,420,USER,https://opencollective.com/xfthhxk,,,
4747,,2017-05-25 17:07,USD,False,2,2022-09-01 14:07,BACKER,Backers,130,USER,https://opencollective.com/rymndhng,,,
4923,,2017-06-05 15:29,USD,False,100,2018-08-02 05:04,BACKER,Sponsors,1500,USER,https://opencollective.com/lisperati,,,
5005,,2017-06-07 17:28,USD,False,-1075.79,2024-02-07 00:11,BACKER,Backers,25,USER,https://opencollective.com/vemv,,,
5039,,2017-06-10 16:44,USD,False,2,2023-05-01 00:05,BACKER,Backers,144,USER,https://opencollective.com/crimeminister,,,https://crimeminister.org
5320,,2017-06-27 15:42,USD,True,25,2017-06-27 15:42,BACKER,0,25,USER,https://opencollective.com/aric81,,,
5491,,2017-07-07 19:15,USD,True,5,2024-08-01 01:06,BACKER,Backers,1086,USER,https://opencollective.com/mike1,https://twitter.com/mikemiller,https://github.com/mtm,https://twitter.com/mikemiller
5524,,2017-07-10 05:37,USD,True,5,2017-07-10 05:37,BACKER,0,5,USER,https://opencollective.com/ayato-p,https://twitter.com/_ayato_p,https://github.com/ayato-p,https://github.com/ayato-p
5765,,2017-07-26 19:13,USD,False,2,2019-04-02 05:08,BACKER,Backers,42,USER,https://opencollective.com/ivar,https://twitter.com/REWivar,,https://twitter.com/REWivar
6668,,2017-09-12 21:39,USD,True,2,2024-08-01 00:02,BACKER,Backers,168,USER,https://opencollective.com/gyordanov,https://twitter.com/gyordanov,,https://twitter.com/gyordanov
7207,,2017-10-05 12:14,USD,False,2,2021-10-01 04:09,BACKER,Backers,98,USER,https://opencollective.com/andreacrotti0,https://twitter.com/andreacrotti,,https://twitter.com/andreacrotti
7940,,2017-10-17 15:31,USD,False,2,2018-01-01 16:35,BACKER,Backers,8,USER,https://opencollective.com/codeasone,,,
8132,,2017-10-23 18:06,USD,False,30,2017-10-23 18:06,BACKER,Backers,30,USER,https://opencollective.com/christopher-laursen,,,
8905,,2017-11-06 19:36,USD,False,20,2023-04-01 02:09,BACKER,Backers,1215,USER,https://opencollective.com/matt-pietal,,,
8930,,2017-11-07 19:26,USD,False,2,2018-04-02 17:21,BACKER,Backers,18,USER,https://opencollective.com/emmatipate,https://twitter.com/Emmatipate,,https://twitter.com/Emmatipate
11052,,2017-12-31 16:43,USD,False,2,2018-12-02 05:03,BACKER,Backers,26,USER,https://opencollective.com/ddeaguiar,https://twitter.com/ddeaguiar,https://github.com/ddeaguiar,https://www.danieldeaguiar.com/
12881,,2018-02-18 22:25,USD,False,5,2018-03-07 16:32,BACKER,Backers,10,USER,https://opencollective.com/asqrd_,https://twitter.com/asqrd_,,https://www.alexafshar.com
15021,@UpLift,2018-04-14 07:48,USD,False,10,2020-02-01 05:11,BACKER,Backers,230,USER,https://opencollective.com/fedreg,https://twitter.com/fedreg,,https://GitHub.com/fedreg
16116,,2018-05-08 03:54,USD,False,10,2020-03-03 05:06,BACKER,Sponsors,410,USER,https://opencollective.com/tristanstraub,https://twitter.com/tristanstraub,,https://allthethings.io
16591,一熊科技,2018-05-16 02:26,USD,False,5,2020-12-01 08:44,BACKER,Backers,160,USER,https://opencollective.com/yuanbohan,https://twitter.com/yuanbohan,https://github.com/yuanbohan,https://github.com/yuanbohan
17014,,2018-05-26 18:07,USD,True,5,2024-08-01 05:01,BACKER,Backers,445.1,USER,https://opencollective.com/nberger,https://twitter.com/nicoberger,https://github.com/nberger,https://github.com/nberger
17934,,2018-06-17 21:22,USD,True,-191.76,2024-05-28 17:01,CONTRIBUTOR,0,0,USER,https://opencollective.com/bbatsov,https://twitter.com/bbatsov,https://github.com/bbatsov,https://batsov.com
