MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type
130167,,2020-10-02 21:19,USD,True,-300.0,2024-05-21 18:01,ADMIN,0,0.0,USER
130168,,2020-10-02 21:19,USD,True,-2.0,2024-08-26 12:33,HOST,0,17.68,ORGANIZATION
131447,,2020-10-07 22:11,USD,True,5.0,2020-10-07 22:11,BACKER,0,5.0,USER
131448,,2020-10-07 22:11,0,True,0.0,2024-08-27 08:09,BACKER,0,25.0,ORGANIZATION
132836,,2020-10-13 12:43,USD,True,10.0,2020-10-13 12:43,BACKER,0,10.0,USER
139163,,2020-11-09 10:41,USD,True,10.0,2020-11-09 10:41,BACKER,0,10.0,USER
139639,,2020-11-11 02:12,USD,False,5.0,2021-04-01 03:15,BACKER,backer,30.0,USER
141615,,2020-11-18 20:53,USD,True,20.0,2020-11-18 20:53,BACKER,0,20.0,USER
141616,,2020-11-18 21:03,USD,True,5.0,2021-06-01 10:17,BACKER,0,6.0,USER
141620,,2020-11-18 21:10,USD,True,20.0,2020-11-18 21:10,BACKER,0,20.0,USER
141639,,2020-11-18 23:14,USD,True,20.0,2020-11-18 23:14,BACKER,0,20.0,USER
141642,,2020-11-18 23:32,USD,True,5.0,2024-08-01 19:03,BACKER,backer,175.0,USER
141643,,2020-11-18 23:35,USD,True,5.0,2020-11-18 23:35,BACKER,0,5.0,USER
141649,,2020-11-19 00:28,USD,True,5.0,2020-11-19 00:28,BACKER,0,5.0,USER
141651,,2020-11-19 01:00,USD,True,1.0,2020-11-19 01:00,BACKER,0,1.0,USER
141657,,2020-11-19 01:40,USD,True,5.0,2020-11-19 01:40,BACKER,0,5.0,USER
141658,,2020-11-19 01:42,USD,True,50.0,2023-11-02 10:04,BACKER,0,200.0,USER
141662,,2020-11-19 02:19,USD,True,5.0,2024-08-01 04:05,BACKER,backer,225.0,USER
141667,,2020-11-19 03:16,USD,True,5.0,2020-11-19 03:16,BACKER,0,5.0,USER
141671,,2020-11-19 03:33,USD,True,10.0,2020-11-19 03:33,BACKER,0,10.0,USER
141683,,2020-11-19 04:25,USD,True,5.0,2020-11-19 04:25,BACKER,0,5.0,USER
141684,,2020-11-19 04:25,USD,True,20.0,2020-11-19 04:25,BACKER,0,20.0,USER
141686,,2020-11-19 04:33,USD,True,10.0,2020-11-19 04:33,BACKER,0,10.0,USER
141687,,2020-11-19 04:43,USD,True,5.0,2020-11-19 04:43,BACKER,0,5.0,USER
141689,,2020-11-19 04:50,USD,True,5.0,2020-11-19 04:50,BACKER,0,5.0,USER
141695,,2020-11-19 06:39,USD,True,5.0,2020-11-19 06:39,BACKER,0,5.0,USER
141696,,2020-11-19 06:39,USD,True,5.0,2024-08-01 05:03,BACKER,backer,305.0,USER
141698,,2020-11-19 06:51,USD,True,3.0,2020-11-19 06:51,BACKER,0,3.0,USER
141707,,2020-11-19 07:21,USD,True,14.0,2020-11-19 07:21,BACKER,0,14.0,USER
141709,,2020-11-19 07:24,USD,True,5.0,2020-11-19 07:24,BACKER,0,5.0,USER
141710,,2020-11-19 07:24,USD,True,5.0,2020-11-19 07:24,BACKER,0,5.0,USER
141712,,2020-11-19 07:34,USD,True,5.0,2021-06-03 07:08,BACKER,0,10.0,USER
141713,,2020-11-19 07:40,USD,True,5.0,2024-08-01 16:06,BACKER,0,120.0,USER
141715,,2020-11-19 07:43,USD,True,5.0,2020-11-19 07:43,BACKER,0,5.0,USER
141717,,2020-11-19 08:02,USD,True,5.0,2020-11-19 08:02,BACKER,0,5.0,USER
141719,,2020-11-19 08:11,USD,True,5.0,2020-11-19 08:11,BACKER,0,5.0,USER
141739,,2020-11-19 09:50,USD,True,10.0,2020-11-19 09:50,BACKER,0,10.0,USER
141741,,2020-11-19 09:55,USD,True,20.0,2023-08-22 07:24,BACKER,0,45.0,USER
141743,,2020-11-19 10:04,USD,True,20.0,2020-11-19 10:04,BACKER,0,20.0,USER
141749,,2020-11-19 10:18,USD,True,64.0,2021-11-01 03:04,BACKER,0,128.0,USER
141750,,2020-11-19 10:19,USD,True,20.0,2024-06-05 07:52,BACKER,0,60.0,USER
141751,,2020-11-19 10:24,USD,True,20.0,2020-11-19 10:24,BACKER,0,20.0,USER
141755,,2020-11-19 10:38,USD,True,2.0,2020-11-19 10:38,BACKER,0,2.0,USER
141760,,2020-11-19 10:47,USD,True,5.0,2020-11-19 10:47,BACKER,0,5.0,USER
141764,,2020-11-19 10:53,USD,True,20.0,2022-04-10 16:16,BACKER,0,40.0,USER
141776,,2020-11-19 11:59,USD,True,2.5,2021-05-25 21:00,BACKER,0,12.5,USER
141783,,2020-11-19 12:28,USD,True,5.0,2020-11-19 12:28,BACKER,0,5.0,USER
141784,,2020-11-19 12:29,USD,True,5.0,2024-08-01 00:10,BACKER,backer,225.0,USER
141788,,2020-11-19 12:41,USD,True,20.0,2020-11-19 12:41,BACKER,0,20.0,USER
141792,,2020-11-19 12:56,USD,True,10.0,2020-11-19 12:56,BACKER,0,10.0,USER
141799,,2020-11-19 14:01,USD,False,5.0,2024-02-01 05:02,BACKER,backer,195.0,USER
141800,,2020-11-19 14:03,USD,False,5.0,2022-09-02 13:01,BACKER,backer,110.0,USER
141801,,2020-11-19 14:09,USD,True,20.0,2020-11-19 14:09,BACKER,0,20.0,USER
141818,,2020-11-19 14:50,USD,True,20.0,2024-05-15 16:57,BACKER,0,60.0,USER
141821,,2020-11-19 15:22,USD,True,5.0,2020-11-19 15:22,BACKER,0,5.0,USER
141825,,2020-11-19 15:30,USD,True,5.0,2020-11-19 15:30,BACKER,0,5.0,USER
141826,,2020-11-19 15:31,USD,True,10.0,2020-11-19 15:31,BACKER,0,10.0,USER
141827,,2020-11-19 15:39,USD,True,20.0,2024-03-10 06:32,BACKER,0,90.0,USER
141830,,2020-11-19 15:43,USD,True,5.0,2020-11-19 15:43,BACKER,0,5.0,USER
141837,,2020-11-19 15:52,USD,True,20.0,2020-11-19 15:52,BACKER,0,20.0,USER
141839,,2020-11-19 15:56,USD,True,5.0,2020-11-19 15:56,BACKER,0,5.0,USER
141840,,2020-11-19 15:56,USD,True,60.0,2023-11-02 11:49,BACKER,0,290.0,USER
141845,,2020-11-19 16:13,USD,True,5.0,2020-11-19 16:13,BACKER,0,5.0,USER
141847,,2020-11-19 16:21,USD,True,20.0,2020-11-19 16:21,BACKER,0,20.0,USER
141851,,2020-11-19 16:36,USD,True,5.0,2020-11-19 16:36,BACKER,0,5.0,USER
141861,,2020-11-19 16:59,USD,True,50.0,2020-11-19 16:59,BACKER,0,50.0,USER
141862,,2020-11-19 17:00,USD,True,10.0,2020-11-19 17:00,BACKER,0,10.0,USER
141868,,2020-11-19 17:14,USD,True,33.33,2020-11-19 17:14,BACKER,0,33.33,USER
141870,,2020-11-19 17:15,USD,True,3.0,2020-11-19 17:15,BACKER,0,3.0,USER
141871,,2020-11-19 17:16,USD,True,5.0,2020-11-19 17:16,BACKER,0,5.0,USER
141873,,2020-11-19 17:28,USD,True,5.0,2020-11-19 17:28,BACKER,0,5.0,USER
141875,,2020-11-19 17:34,USD,True,5.0,2023-11-01 05:06,BACKER,0,20.0,USER
141876,,2020-11-19 17:36,USD,True,5.0,2020-11-19 17:36,BACKER,0,5.0,USER
141877,,2020-11-19 17:39,USD,False,5.0,2023-03-01 07:10,BACKER,backer,140.0,USER
141880,,2020-11-19 17:44,USD,True,100.0,2020-11-19 17:44,BACKER,0,100.0,USER
141882,,2020-11-19 17:54,USD,True,10.0,2021-05-26 07:57,BACKER,0,15.0,USER
141887,,2020-11-19 18:03,USD,True,100.0,2020-11-19 18:03,BACKER,0,100.0,USER
141891,,2020-11-19 18:18,USD,True,50.0,2020-11-19 18:18,BACKER,0,50.0,USER
141892,,2020-11-19 18:19,USD,True,10.0,2020-11-19 18:19,BACKER,0,10.0,USER
141894,,2020-11-19 18:24,USD,True,1.0,2020-11-19 18:24,BACKER,0,1.0,USER
141897,,2020-11-19 18:36,USD,True,25.0,2020-11-19 18:36,BACKER,0,25.0,USER
141898,,2020-11-19 18:39,USD,True,5.0,2020-11-19 18:39,BACKER,0,5.0,USER
141899,,2020-11-19 18:40,USD,True,1.0,2020-11-19 18:40,BACKER,0,1.0,USER
141906,,2020-11-19 19:05,USD,True,5.0,2020-11-19 19:05,BACKER,0,5.0,USER
141908,,2020-11-19 19:14,USD,True,3.0,2020-11-19 19:14,BACKER,0,3.0,USER
141912,,2020-11-19 19:29,USD,True,20.0,2020-11-19 19:29,BACKER,0,20.0,USER
141913,,2020-11-19 19:35,USD,True,20.0,2020-11-19 19:35,BACKER,0,20.0,USER
141916,,2020-11-19 19:50,USD,True,5.0,2020-11-19 19:50,BACKER,0,5.0,USER
141921,Basiskarten Jura,2020-11-19 20:10,USD,True,379.0,2023-11-29 15:47,BACKER,0,800.0,USER
141934,,2020-11-19 21:03,USD,True,5.0,2020-11-19 21:03,BACKER,0,5.0,USER
141938,,2020-11-19 21:11,USD,True,8.0,2020-11-19 21:11,BACKER,0,8.0,USER
141939,,2020-11-19 21:12,USD,True,5.0,2020-11-19 21:12,BACKER,0,5.0,USER
141942,,2020-11-19 21:23,USD,True,20.0,2020-11-19 21:23,BACKER,0,20.0,USER
141945,,2020-11-19 21:30,USD,True,3.0,2020-11-19 21:30,BACKER,0,3.0,USER
141955,,2020-11-19 21:52,USD,True,5.0,2024-08-23 10:15,BACKER,backer,185.0,USER
141957,,2020-11-19 22:10,USD,True,20.0,2020-11-19 22:10,BACKER,0,20.0,USER
141958,,2020-11-19 22:13,USD,True,5.0,2020-11-19 22:13,BACKER,0,5.0,USER
141961,,2020-11-19 22:19,USD,True,5.0,2020-11-19 22:19,BACKER,0,5.0,USER
141962,,2020-11-19 22:22,USD,True,20.0,2020-11-19 22:22,BACKER,0,20.0,USER
141964,,2020-11-19 22:24,USD,True,10.0,2020-11-19 22:24,BACKER,0,10.0,USER
141965,,2020-11-19 22:30,USD,True,10.0,2023-08-24 18:58,BACKER,0,20.0,USER
141974,,2020-11-19 23:19,USD,False,5.0,2023-07-01 05:04,BACKER,backer,160.0,USER
141975,,2020-11-19 23:28,USD,True,3.0,2021-05-30 00:04,BACKER,0,8.0,USER
141978,,2020-11-19 23:30,USD,True,20.0,2020-11-19 23:30,BACKER,0,20.0,USER
141981,,2020-11-19 23:37,USD,True,5.0,2024-03-08 09:39,BACKER,0,10.0,USER
141982,,2020-11-19 23:41,USD,True,20.0,2020-11-19 23:41,BACKER,0,20.0,USER
141983,,2020-11-19 23:56,USD,True,10.0,2020-11-19 23:56,BACKER,0,10.0,USER
141984,,2020-11-20 00:05,USD,True,10.0,2024-08-02 11:28,BACKER,0,450.0,USER
141985,,2020-11-20 00:20,USD,True,5.0,2024-06-04 22:01,BACKER,0,20.0,USER
141986,,2020-11-20 00:22,USD,True,5.0,2024-08-01 04:05,BACKER,backer,225.0,USER
141998,,2020-11-20 01:23,USD,True,10.0,2020-11-20 01:23,BACKER,0,10.0,USER
142006,,2020-11-20 01:45,USD,True,10.0,2023-08-25 19:37,BACKER,0,65.0,USER
142010,,2020-11-20 01:59,USD,True,50.0,2021-05-31 11:34,BACKER,0,60.0,USER
142016,,2020-11-20 02:20,USD,True,50.0,2020-11-20 02:20,BACKER,0,50.0,USER
142018,,2020-11-20 02:35,USD,False,5.0,2021-02-03 00:12,BACKER,backer,15.0,USER
142019,,2020-11-20 02:39,USD,True,20.0,2020-11-20 02:39,BACKER,0,20.0,USER
142027,,2020-11-20 03:22,USD,True,20.0,2020-11-20 03:22,BACKER,0,20.0,USER
142029,,2020-11-20 03:31,USD,True,5.0,2024-03-17 22:55,BACKER,0,10.0,USER
142032,,2020-11-20 04:26,USD,True,1.0,2020-11-20 04:26,BACKER,0,1.0,USER
142034,,2020-11-20 04:39,USD,True,20.0,2024-03-09 07:35,BACKER,0,60.0,USER
142039,,2020-11-20 04:56,USD,True,5.0,2020-11-20 04:56,BACKER,0,5.0,USER
142040,,2020-11-20 05:06,USD,True,5.0,2020-11-20 05:06,BACKER,0,5.0,USER
142041,,2020-11-20 05:32,USD,True,20.0,2020-11-20 05:32,BACKER,0,20.0,USER
142048,,2020-11-20 07:03,USD,True,5.0,2020-11-20 07:03,BACKER,0,5.0,USER
142055,,2020-11-20 07:44,USD,True,20.0,2020-11-20 07:44,BACKER,0,20.0,USER
142057,,2020-11-20 07:46,USD,False,5.0,2022-04-01 10:10,BACKER,backer,85.0,USER
142058,,2020-11-20 07:47,USD,True,10.0,2020-11-20 07:47,BACKER,0,10.0,USER
142059,,2020-11-20 07:48,USD,True,5.0,2020-11-20 07:48,BACKER,0,5.0,USER
142060,,2020-11-20 07:50,USD,True,3.0,2024-08-01 13:10,BACKER,0,132.0,USER
142061,,2020-11-20 07:52,USD,True,5.0,2024-08-01 00:10,BACKER,backer,225.0,USER
142062,,2020-11-20 07:56,USD,True,20.0,2020-11-20 07:56,BACKER,0,20.0,USER
142063,,2020-11-20 07:56,USD,True,10.0,2020-11-20 07:56,BACKER,0,10.0,USER
142064,,2020-11-20 08:04,USD,True,10.0,2020-11-20 08:04,BACKER,0,10.0,USER
142068,,2020-11-20 08:21,USD,True,1.0,2020-11-20 08:21,BACKER,0,1.0,USER
142069,,2020-11-20 08:34,USD,True,5.0,2020-11-20 08:34,BACKER,0,5.0,USER
142071,,2020-11-20 08:40,USD,True,20.0,2020-11-20 08:40,BACKER,0,20.0,USER
142072,,2020-11-20 08:40,USD,True,20.0,2020-11-20 08:40,BACKER,0,20.0,USER
142073,,2020-11-20 08:54,USD,True,5.0,2020-11-20 08:54,BACKER,0,5.0,USER
142075,,2020-11-20 08:57,USD,True,39.0,2020-11-20 08:57,BACKER,0,39.0,USER
142076,,2020-11-20 09:11,USD,True,60.0,2020-11-20 09:11,BACKER,0,60.0,USER
142077,,2020-11-20 09:13,USD,True,120.0,2020-11-20 09:13,BACKER,0,120.0,USER
142079,,2020-11-20 09:29,USD,True,5.0,2020-11-20 09:29,BACKER,0,5.0,USER
142085,,2020-11-20 09:45,USD,True,50.0,2020-11-20 09:45,BACKER,0,50.0,USER
